ano_censo,dependencia_administrativa,localizacao,situacao_funcionamento,escolas,qt_mat_bas,qt_doc_bas,qt_tur_bas,matriculas_por_escola
2006,Estadual,Urbana,Extinto,279,0.0,0.0,0.0,0.0
2006,Estadual,Urbana,Paralisado,699,0.0,0.0,0.0,0.0
2006,Federal,Rural,Ativa,46,0.0,0.0,0.0,0.0
2006,Federal,Rural,Paralisado,11,0.0,0.0,0.0,0.0
2006,Federal,Urbana,Ativa,160,0.0,0.0,0.0,0.0
2006,Federal,Urbana,Extinto,1,0.0,0.0,0.0,0.0
2006,Federal,Urbana,Paralisado,1,0.0,0.0,0.0,0.0
2006,Municipal,Rural,Ativa,85010,0.0,0.0,0.0,0.0
2006,Municipal,Rural,Extinto,4732,0.0,0.0,0.0,0.0
2006,Municipal,Rural,Paralisado,22240,0.0,0.0,0.0,0.0
2006,Municipal,Urbana,Ativa,49884,0.0,0.0,0.0,0.0
2006,Municipal,Urbana,Extinto,695,0.0,0.0,0.0,0.0
2006,Municipal,Urbana,Paralisado,2280,0.0,0.0,0.0,0.0
2006,Privada,Rural,Ativa,735,0.0,0.0,0.0,0.0
2006,Privada,Rural,Extinto,66,0.0,0.0,0.0,0.0
2006,Privada,Rural,Paralisado,198,0.0,0.0,0.0,0.0
2006,Privada,Urbana,Ativa,34802,0.0,0.0,0.0,0.0
2006,Privada,Urbana,Extinto,1137,0.0,0.0,0.0,0.0
2006,Privada,Urbana,Paralisado,3937,0.0,0.0,0.0,0.0
2007,Estadual,Rural,Ativa,6353,905584.0,49609.0,43516.0,142.5443097749095
2007,Estadual,Urbana,Ativa,26768,21021716.0,787321.0,650589.0,785.330095636581
2007,Federal,Rural,Ativa,46,29201.0,1673.0,1064.0,634.804347826087
2007,Federal,Urbana,Ativa,189,155894.0,10954.0,5821.0,824.8359788359788
2007,Municipal,Rural,Ativa,81367,5992612.0,295618.0,327031.0,73.64916981085698
2007,Municipal,Urbana,Ativa,51181,18538399.0,762023.0,718638.0,362.21252027119436
2007,Privada,Rural,Ativa,627,69922.0,4091.0,3788.0,111.51834130781499
2007,Privada,Urbana,Ativa,31976,6315600.0,406714.0,348309.0,197.51063297473104
2008,Estadual,Rural,Ativa,6245,875400.0,52947.0,42311.0,140.17614091273018
2008,Estadual,Urbana,Ativa,26680,20558041.0,824760.0,637360.0,770.5412668665667
2008,Federal,Rural,Ativa,52,30624.0,1985.0,1193.0,588.9230769230769
2008,Federal,Urbana,Ativa,219,166908.0,13107.0,6089.0,762.1369863013699
2008,Municipal,Rural,Ativa,79859,5844791.0,308761.0,325016.0,73.18888290612205
2008,Municipal,Urbana,Ativa,52525,18656061.0,811468.0,735155.0,355.1844074250357
2008,Privada,Rural,Ativa,712,69229.0,4331.0,3861.0,97.2317415730337
2008,Privada,Urbana,Ativa,39407,7031814.0,469864.0,387597.0,178.44073387976755
2009,Estadual,Rural,Ativa,6120,880036.0,54793.0,42775.0,143.7967320261438
2009,Estadual,Urbana,Ativa,26491,19857627.0,821502.0,623911.0,749.5989958853951
2009,Federal,Rural,Ativa,57,31339.0,2141.0,1220.0,549.8070175438596
2009,Federal,Urbana,Ativa,245,186399.0,14068.0,6553.0,760.8122448979592
2009,Municipal,Rural,Ativa,76527,5705664.0,310994.0,320062.0,74.55752871535536
2009,Municipal,Urbana,Ativa,53493,18609645.0,837767.0,748905.0,347.8893500084123
2009,Privada,Rural,Ativa,649,63336.0,4222.0,3592.0,97.59013867488444
2009,Privada,Urbana,Ativa,39873,7246406.0,487983.0,398011.0,181.73716550046396
2010,Estadual,Rural,Ativa,6018,874686.0,57117.0,43625.0,145.34496510468594
2010,Estadual,Urbana,Ativa,26381,19157302.0,827316.0,615554.0,726.1780068989045
2010,Federal,Rural,Ativa,60,33657.0,2515.0,1259.0,560.95
2010,Federal,Urbana,Ativa,294,201451.0,15798.0,7182.0,685.2074829931972
2010,Municipal,Rural,Ativa,73009,5466965.0,308783.0,311919.0,74.88069963977044
2010,Municipal,Urbana,Ativa,54198,18255446.0,850845.0,754002.0,336.828775969593
2010,Privada,Rural,Ativa,636,62650.0,4261.0,3635.0,98.50628930817611
2010,Privada,Urbana,Ativa,40280,7497732.0,506065.0,413296.0,186.140317775571
2011,Estadual,Rural,Ativa,5983,911830.0,59382.0,45789.0,152.40347651679758
2011,Estadual,Rural,Extinta,119,0.0,0.0,0.0,0.0
2011,Estadual,Rural,Paralisada,1572,0.0,0.0,0.0,0.0
2011,Estadual,Urbana,Ativa,26333,18572080.0,810878.0,606552.0,705.2777883264345
2011,Estadual,Urbana,Extinta,104,0.0,0.0,0.0,0.0
2011,Estadual,Urbana,Paralisada,1230,0.0,0.0,0.0,0.0
2011,Federal,Rural,Ativa,68,34866.0,2910.0,1292.0,512.7352941176471
2011,Federal,Rural,Paralisada,13,0.0,0.0,0.0,0.0
2011,Federal,Urbana,Ativa,383,222186.0,18305.0,8166.0,580.1201044386423
2011,Federal,Urbana,Extinta,2,0.0,0.0,0.0,0.0
2011,Federal,Urbana,Paralisada,4,0.0,0.0,0.0,0.0
2011,Municipal,Rural,Ativa,69726,5283726.0,309077.0,305141.0,75.77841838051803
2011,Municipal,Rural,Extinta,2922,0.0,0.0,0.0,0.0
2011,Municipal,Rural,Paralisada,28631,0.0,0.0,0.0,0.0
